cod_ibge,Municipio,nome_microrregiao,idx_gobernanza,idx_vulnerabilidad,idx_riesgo_total,idx_riesgo_salud,idx_riesgo_clima,idx_riesgo_nutricion
355310,Taiaçu,Jaboticabal,0.09,15.662103775731838,44.77322300036285,27.5,37.01298701298701,94.8401409758402
353850,Piquete,Guaratinguetá,0.286,18.639493972902414,44.70284791440278,37.5,40.90909090909091,66.6960577538321
352580,Júlio Mesquita,Lins,0.076,18.96385977525444,44.70246063986984,22.5,41.55844155844156,95.39542008246609
354440,Rubiácea,Araçatuba,0.19,22.687083968539472,44.60703152059562,32.5,30.519480519480517,96.99619656401704
354830,Santo Expedito,Presidente Prudente,0.3319999999999999,20.79136976941136,44.58440808727538,32.5,31.16883116883117,95.58437809871457
354900,São Francisco,Jales,0.066,27.16680696154428,44.41017439902173,27.5,33.76623376623377,99.5184044626411
351760,Guapiara,Capão Bonito,0.346,23.49852674428405,44.313422066439514,37.5,31.818181818181817,82.93074669583392
353330,Nova Luzitânia,Auriflama,0.19,26.097368521716227,44.311703652186175,30.0,32.467532467532465,96.62345332586592
351535,Euclides da Cunha Paulista,Presidente Prudente,0.346,27.97325473510437,44.17427946471961,42.5,19.48051948051948,96.9103583625591
355715,Zacarias,São José do Rio Preto,0.2219999999999999,22.90011342918861,44.15818590079127,32.5,29.87012987012987,96.05066976369659
351015,Canitar,Ourinhos,0.2299999999999999,19.589467071641423,44.152886111634054,22.5,38.96103896103896,97.84235263609234
352120,Iporanga,Capão Bonito,0.246,54.24252630607085,44.14555979112902,57.5,26.03896103896104,53.64987687772299
353590,Paranapuã,Jales,0.224,21.35763857073934,44.03832991100656,30.0,32.467532467532465,95.25658461996784
354950,São José da Bela Vista,Franca,0.166,20.1067584949501,43.777939866344575,30.0,33.116883116883116,92.65593309795663
353610,Pardinho,Botucatu,0.286,18.23260328200443,43.766295530392156,27.5,36.36363636363637,91.10420492468803
351250,Coroados,Birigui,0.21,16.712474449278023,43.731252209744724,30.0,30.519480519480517,97.61730000976256
351790,Guaraci,São José do Rio Preto,0.196,18.83244738615778,43.610210163066796,35.0,25.974025974025977,96.10299886728203
351680,Gastão Vidigal,Auriflama,0.2659999999999999,20.19701458913531,43.60394381265178,32.5,27.27272727272727,98.47426451780434
350395,Aspásia,Jales,0.19,29.121693666851563,43.56080324295236,25.0,34.41558441558442,98.97284738359296
355475,Trabiju,Araraquara,0.18,37.93656144811747,43.45292722780745,27.5,35.714285714285715,90.8360647104658
354320,Ribeirão do Sul,Ourinhos,0.22,18.42886108470404,43.399002175607066,22.5,37.662337662337656,96.67033555336
351010,Cândido Rodrigues,Jaboticabal,0.3159999999999999,21.148353890479942,43.39232252767057,27.5,35.714285714285715,90.53304120978142
354085,Pracinha,Adamantina,0.076,47.88439968025109,43.35965362522848,32.5,25.974025974025977,99.85021617809046
350150,Alvinlândia,Marília,0.346,31.554661221607404,43.35415620455617,35.0,31.818181818181817,83.13441738641721
355535,Ubarana,São José do Rio Preto,0.22,17.838787503039626,43.31537456229739,35.0,25.324675324675326,95.92752216213633
