predictor,predictor_label,outcome,outcome_label,dimension,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,best_structure,aic_micro,aic_crossed,aic_nested,delta_aic,aic_weight
hydric_stress_risk,Estres Hidrico,UAI_food,UAI Alimentacion,Riesgo Climatico,4288.272259138823,4306.149260406006,4288.334759138823,-2140.1361295694114,-0.1834906657056418,0.2750853761979863,0.5047518861201147,0.03897835755197763,0.1128173898588908,645,True,micro_only,4288.272259138823,4290.272259138823,4290.272259138823,7.830930656886267,0.01844079304451631
pct_preta,% Pob. Negra,UAI_food,UAI Alimentacion,Vulnerabilidad,4278.330045580114,4296.207046847297,4278.392545580114,-2135.165022790057,-0.9315617563856677,0.28390786134461043,0.0010336218391028607,0.048264629587327156,0.1005386028871589,645,True,micro_only,4278.330045580114,4280.330045580114,4280.330045580114,0.0,0.8522491638021519
pct_rural,% Rural,UAI_food,UAI Alimentacion,Vulnerabilidad,4283.455691760564,4301.332693027747,4283.518191760564,-2137.727845880282,0.6929661037023149,0.29757255970788526,0.019873381491121778,0.04098863326773164,0.09431073488625515,645,True,micro_only,4283.455691760564,4285.455691760564,4285.455691760564,5.125646180450531,0.06569716931976463
pct_pobreza,% Pobreza,UAI_food,UAI Alimentacion,Vulnerabilidad,4284.004110172133,4301.881111439316,4284.066610172133,-2138.0020550860663,-0.6226652715975837,0.28681424411712375,0.02993340012022245,0.04984738389823675,0.14252632980738633,645,True,micro_only,4284.004110172133,4286.004110172133,4286.004110172132,5.674064592019022,0.04994121600343569
idx_vulnerabilidad,Vulnerabilidad (idx),UAI_food,UAI Alimentacion,Vulnerabilidad,4285.433605261737,4303.31060652892,4285.496105261737,-2138.7168026308686,-0.5018360430459968,0.2766532839766017,0.0696849683343814,0.04663097120462403,0.13457483799636555,645,True,micro_only,4285.433605261737,4287.433605261737,4287.433605261737,7.103559681623665,0.024437017395790437
pct_indigena,% Pob. Indigena,UAI_food,UAI Alimentacion,Vulnerabilidad,4287.749753897402,4305.626755164585,4287.812253897402,-2139.874876948701,-0.25681575513387184,0.2609756583959694,0.32508592093347977,0.04098237714741428,0.11974199924322082,645,True,micro_only,4287.749753897402,4289.749753897402,4289.749753897402,9.419708317288496,0.007675433478857342
pol_deficit,Deficit Polinizacion,UAI_mob,UAI Movilidad,Biodiversidad,3779.5571907053754,3797.4341919725584,3779.6196907053754,-1885.7785953526877,-0.8280037760353154,0.22292536459276885,0.00020379552385110287,0.10424227014371537,0.2020535701323981,645,True,micro_only,3779.5571907053754,3781.5571907053754,3781.5571907053754,0.0,0.9650421690073651
forest_cover,Cobertura Forestal,UAI_mob,UAI Movilidad,Biodiversidad,3787.327436528876,3805.204437796059,3787.389936528876,-1889.663718264438,0.5522013551044193,0.24739330900304574,0.025609756703836868,0.09939515091692366,0.22628151582806516,645,True,micro_only,3787.327436528876,3789.327436528876,3789.327436528876,7.7702458235007725,0.019827084104937436
mean_species_richness,Riqueza Especies,UAI_mob,UAI Movilidad,Biodiversidad,3789.2543708816347,3807.1313721488177,3789.3168708816347,-1890.6271854408174,0.4372790112609488,0.2622469480631705,0.09542849122534272,0.09790774366478451,0.23051753825335658,645,True,micro_only,3789.2543708816347,3791.2543708816347,3791.2543708816356,9.69718017625928,0.00756537344384884
idx_biodiv,Biodiversidad (idx),UAI_mob,UAI Movilidad,Biodiversidad,3789.2543708816347,3807.1313721488177,3789.3168708816347,-1890.6271854408174,0.4372790112607849,0.26224694806319554,0.09542849122549851,0.09790774366480584,0.23051753825343912,645,True,micro_only,3789.2543708816347,3791.2543708816347,3791.2543708816356,9.69718017625928,0.00756537344384884
