municipio,2013,2014,2015,2016,Total,cod
354470 SAGRES,0,3,49,6,58,354470
354480 SALES,0,20,395,14,429,354480
354490 SALES OLIVEIRA,0,90,28,204,322,354490
354500 SALESOPOLIS,0,5,22,7,34,354500
354510 SALMOURAO,0,20,95,2,117,354510
354515 SALTINHO,0,11,94,57,162,354515
354520 SALTO,0,155,1504,279,1938,354520
354530 SALTO DE PIRAPORA,0,10,1983,52,2045,354530
354540 SALTO GRANDE,0,8,102,12,122,354540
354550 SANDOVALINA,0,14,25,71,110,354550
354560 SANTA ADELIA,0,10,365,12,387,354560
354570 SANTA ALBERTINA,0,7,276,8,291,354570
354580 SANTA BARBARA D'OESTE,1,3341,4764,478,8584,354580
354600 SANTA BRANCA,0,31,232,103,366,354600
354610 SANTA CLARA D'OESTE,0,5,77,47,129,354610
354620 SANTA CRUZ DA CONCEICAO,0,22,31,5,58,354620
354625 SANTA CRUZ DA ESPERANCA,0,0,20,10,30,354625
354630 SANTA CRUZ DAS PALMEIRAS,0,46,912,40,998,354630
354640 SANTA CRUZ DO RIO PARDO,0,59,758,56,873,354640
354650 SANTA ERNESTINA,0,2,196,59,257,354650
354660 SANTA FE DO SUL,1,87,538,804,1430,354660
354670 SANTA GERTRUDES,0,60,500,6,566,354670
354680 SANTA ISABEL,0,56,397,127,580,354680
354690 SANTA LUCIA,0,23,122,39,184,354690
354700 SANTA MARIA DA SERRA,0,46,19,6,71,354700
354710 SANTA MERCEDES,0,2,122,13,137,354710
354720 SANTANA DA PONTE PENSA,0,5,54,3,62,354720
354730 SANTANA DE PARNAIBA,0,430,1732,353,2515,354730
354740 SANTA RITA D'OESTE,0,3,181,13,197,354740
354750 SANTA RITA DO PASSA QUATRO,0,67,829,100,996,354750
354760 SANTA ROSA DE VITERBO,0,48,336,278,662,354760
354765 SANTA SALETE,0,4,45,12,61,354765
354770 SANTO ANASTACIO,0,28,199,917,1144,354770
354780 SANTO ANDRE,0,478,1674,511,2663,354780
354790 SANTO ANTONIO DA ALEGRIA,0,1,20,88,109,354790
354800 SANTO ANTONIO DE POSSE,0,390,3198,170,3758,354800
354805 SANTO ANTONIO DO ARACANGUA,0,113,78,32,223,354805
354810 SANTO ANTONIO DO JARDIM,0,3,73,8,84,354810
