Cod_ibge,Municipio,mort_infantil,IDESP_ensino_medio,n_familias_rua,forest_cover,n_pessoas_pobreza,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,population,population_preta,population_indigena,population_branca,pct_rural,pct_urbana,pol_deficit,mean_species_richness,max_species_richness,Vert_rich_risk,COD,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,municipality,persist_malaria,persist_leptospirose,persist_diarrhea,persist_dengue,persist_chagas,incidence_malaria,incidence_leptospirose,incidence_diarrhea,incidence_dengue,incidence_chagas,copersistence,malaria_leptospirose,malaria_diarrhea,malaria_dengue,malaria_chagas,leptospirose_diarrhea,leptospirose_dengue,leptospirose_chagas,diarrhea_dengue,diarrhea_chagas,dengue_chagas,UAI_promedio,pct_preta,pct_indigena,pct_branca,riesgo_climatico,cuadrante,idx_clima,mort_norm,pobreza_pct,pobreza_norm,idx_social,idx_capacidad_inv,idx_politicas,idx_riesgo_eco,IVM,IVM_100,categoria_IVM
3532603,Nhandeara,0.0,2.4,0,13.1,59.9,96.8,0.33,0.25,0.25,0.2,0.2,10288.5,419.5,1.5,7897.0,16.8,83.2,0.952777016225,599.941605839416,637,5.82,353260,0.57,0.0,0.44,0.47,NHANDEARA,2.0,0.0,10.0,6.0,0.0,9.71958983330904,0.0,173.008699032901,1236.00784046913,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.246,4.07736793507314,0.01457938474996355,76.75560091364144,0.235,Q3_Vulnerable,0.3973393933041769,0.0,0.5822034310152112,0.10059125085004691,0.05029562542502346,0.7760869565217391,0.9547882508305481,0.13330279431974348,0.46236260408024615,57.74643338958082,Alta
3515905,Floreal,0.0,4.0,0,10.9,53.1,100.0,0.0,0.5,0.5,0.0,0.2,2868.0,97.0,1.0,2225.5,16.3,83.7,0.968677682811,583.268656716418,636,8.29,351590,0.45,0.0,0.27,0.41,,,,,,,,,,,,,,,,,,,,,,,0.24,3.3821478382147836,0.03486750348675035,77.5976290097629,0.205,Q3_Vulnerable,0.2981633492455209,0.0,1.8514644351464433,0.3201053261389348,0.1600526630694674,0.782608695652174,0.9707224824274,0.18987631699496105,0.48028470147790464,61.64791852221807,Alta
3504206,Auriflama,13.9,2.8,0,12.2,62.3,98.3,0.0,0.5,0.25,0.2,0.2,13947.0,452.5,4.5,9757.5,9.7,90.3,0.979414633594,563.220588235294,640,12.0,350420,0.64,0.0,0.58,0.68,,,,,,,,,,,,,,,,,,,,,,,0.22999999999999998,3.2444253244425325,0.032265003226500326,69.96128199612819,0.34,Q3_Vulnerable,0.5228701965679223,0.17375000000000002,0.4466910446691045,0.07715487639110188,0.12545243819555096,0.7934782608695652,0.9814820980381668,0.2748511223087495,0.5396268231959909,74.56618363847129,Alta
3530409,Mirassolândia,0.0,2.1,0,12.5,69.1,94.0,0.0,0.38,0.75,0.2,0.4,4482.0,213.5,1.5,3007.5,13.6,86.4,0.923803017591,619.166666666667,643,3.71,353040,0.63,0.0,0.52,0.5,,,,,,,,,,,,,,,,,,,,,,,0.346,4.763498438197233,0.03346720214190094,67.10174029451139,0.25,Q3_Vulnerable,0.44559762809946235,0.0,1.541722445336903,0.266536575306855,0.1332682876534275,0.6673913043478261,0.9257530904475539,0.08497480531378837,0.4513970231724117,55.35932155030267,Alta
3516903,General Salgado,10.5,3.1,9,13.6,56.9,100.0,0.0,0.13,0.5,0.2,0.2,10490.5,456.0,3.0,6749.0,10.6,89.4,0.963878644424,598.79746835443,642,6.73,351690,0.49,0.0,0.41,0.6,,,,,,,,,,,,,,,,,,,,,,,0.20600000000000002,4.346789952814452,0.028597302321147704,64.33439778847529,0.3,Q3_Vulnerable,0.4085799563605873,0.13125,0.5423955006911014,0.0937066140528717,0.11247830702643585,0.8195652173913044,0.9659133136616095,0.15414567109482366,0.49213649310695207,64.22795074779255,Alta
3549508,São José da Bela Vista,16.7,1.4,2,12.1,71.7,94.5,0.0,0.38,0.25,0.2,0.0,8016.0,556.5,0.5,4307.0,8.4,91.6,0.9246075598,619.952380952381,663,6.49,354950,0.73,0.0,0.51,0.51,,,,,,,,,,,,,,,,,,,,,,,0.166,6.942365269461077,0.0062375249500997995,53.730039920159676,0.255,Q3_Vulnerable,0.4749204390620385,0.20875,0.8944610778443114,0.1545950754160516,0.1816725377080258,0.8630434782608696,0.9265593309795663,0.14864864864864866,0.5189688869318299,70.06913011748539,Alta
3528304,Magda,0.0,3.1,0,18.5,42.2,100.0,0.33,0.5,0.0,0.2,0.2,3182.5,89.0,3.0,2288.5,16.3,83.7,0.966122169922,586.9375,638,8.0,352830,0.48,0.0,0.2,0.46,,,,,,,,,,,,,,,,,,,,,,,0.246,2.796543597800471,0.09426551453260015,71.90887666928515,0.23,Q3_Vulnerable,0.30440078385786384,0.0,1.3260015710919089,0.22922843452550917,0.11461421726275459,0.7760869565217391,0.968161575059031,0.1832340815391663,0.46929952284811094,59.25654042887595,Alta
3523008,Itapura,0.0,1.6,2,7.2,52.7,78.1,0.67,0.38,0.25,0.2,0.0,4168.0,283.0,3.5,1696.0,15.8,84.2,0.97824109916,522.852941176471,630,17.01,352300,0.37,0.0,0.26,0.29,,,,,,,,,,,,,,,,,,,,,,,0.3,6.78982725527831,0.08397312859884837,40.69097888675624,0.145,Q3_Vulnerable,0.23355423006927045,0.0,1.2643953934740884,0.21857387012319762,0.10928693506159881,0.717391304347826,0.9803060863686497,0.3896014658726524,0.4860280043439994,62.89818573409192,Alta
3549250,São João de Iracema,0.0,2.7,0,18.4,49.1,80.9,0.67,0.38,0.5,0.0,0.2,1813.0,114.0,0.0,942.5,17.2,82.8,0.881851923066,583.685185185185,638,8.51,354925,0.37,0.0,0.21,0.2,,,,,,,,,,,,,,,,,,,,,,,0.35,6.2879205736348585,0.0,51.98565912851627,0.1,Q3_Vulnerable,0.19103557850806568,0.0,2.708218422504137,0.46827781286369563,0.23413890643184782,0.6630434782608696,0.8837134405820991,0.19491525423728814,0.43336933160403407,51.43484948270947,Alta
3537404,Pereira Barreto,20.2,2.8,11,7.3,70.3,80.0,0.67,0.63,0.25,0.4,0.4,24528.5,1344.5,18.0,11296.5,6.3,93.7,0.982852753246,505.826666666667,640,20.96,353740,0.52,0.0,0.52,0.41,,,,,,,,,,,,,,,,,,,,,,,0.47000000000000003,5.481378804248119,0.07338402266750922,46.05458955908433,0.205,Q4_Desarrollo,0.3847676534763842,0.2525,0.2866053774181055,0.049468642354737906,0.15098432117736896,0.5326086956521738,0.9849274752804574,0.48007329363261575,0.5066722878438,67.39226716671172,Alta
