cod_ibge,incidence_diarrhea_mean,incidence_diarrhea_max,total_cases_diarrhea,persist_diarrhea
351300,19.995078706010567,29.04937734382932,444.0,10
351310,14.483570985488736,22.66802674827156,49.0,10
351320,3.5280469987808316,11.986096128490951,3.0,3
351330,13.89191968631888,48.2392667631452,3.0,3
351340,6.256156852279139,20.671708942338093,51.0,8
351350,18.653067341171177,36.340648790447986,230.0,10
351360,119.91285797469077,207.54542938843278,262.0,10
351370,81.95887777504184,106.76916506512919,266.0,10
351380,58.169405947625116,76.94502465152223,2365.0,10
351385,22.74398235160695,58.85815185403178,4.0,4
351390,11.59545163503943,27.187358965575363,13.0,8
351400,80.32500723430849,184.56569385165534,68.0,10
351410,126.22098811210724,305.464419051929,337.0,10
351420,18.899962049645556,47.89272030651341,4.0,4
351430,12.664982861386278,35.19515714637666,11.0,6
351440,173.15373395075022,218.32135138711243,783.0,10
351450,252.73813663696268,524.4338498212157,316.0,10
351460,15.417016850818774,31.685678073510772,14.0,8
351470,11.317922636450508,48.85197850512946,7.0,4
351480,1.3081870828776583,6.56254101588135,2.0,2
351490,10.14110063964765,17.72421127259837,17.0,8
351492,23.595907110117356,95.83501044601614,8.0,5
351495,20.402593492056766,82.67879288962381,5.0,4
351500,24.588265742895132,32.89871732817038,634.0,10
351510,26.20837826898217,39.212269083304285,175.0,10
351512,19.13261074145273,65.78947368421052,6.0,5
351515,10.571401026907989,33.934732198405065,19.0,9
351518,3.20266370527951,11.315801385054089,14.0,6
351519,8.916012813927875,44.19889502762431,4.0,3
351520,417.82056715197393,972.5530749296746,346.0,10
351530,58.765018411089045,112.73957158962796,16.0,9
351535,14.77070830735543,63.70102983331564,14.0,6
351540,13.130984065007206,31.32832080200501,21.0,7
351550,28.95362555619483,56.793359545653125,197.0,10
351560,29.801823127147486,86.64009703690868,17.0,8
351565,18.737843393013428,127.06480304955528,3.0,2
351570,32.90534139255805,45.87102693035733,591.0,10
351580,244.62390131325915,473.93364928909955,40.0,9
351590,140.56586312342193,301.8108651911469,42.0,10
351600,497.08538860413046,732.1537522879805,683.0,10
351610,21.54645434090677,70.89684509039348,6.0,5
351620,4.0447576811007835,9.06035612862308,138.0,10
351630,43.95955296155051,70.86874268039999,733.0,10
351640,10.461511095856793,29.529139695772635,147.0,10
351650,59.002947347906094,223.8864447951999,16.0,5
351660,46.73820818226582,60.46863189720332,32.0,9
351670,128.32407746254276,280.86100750460616,564.0,10
351680,103.1307003238046,190.58509624547358,46.0,10
351685,23.846677832614624,43.14994606256742,11.0,8
351690,537.1386365937406,852.9657619543151,580.0,10
351700,66.20957843030274,224.55005782163988,72.0,7
351710,38.792667983446435,110.36942855124673,18.0,8
351720,47.87067614167992,110.18271967679735,54.0,10
351730,19.693606954582222,55.683627899724925,11.0,7
351740,163.1810685888094,272.95473500644476,637.0,10
351750,11.09489503082019,18.93491124260355,22.0,9
351760,9.027604201681331,22.372615918116225,16.0,8
351770,85.00734018204356,202.71958458702724,173.0,10
351780,205.44472869319117,321.42857142857144,173.0,10
351790,43.624217849382184,94.4822373393802,46.0,10
351800,9.905903727274133,49.578582052553294,2.0,2
351810,60.646789362908066,165.93754714134863,40.0,10
351820,171.45400217018528,341.82775299526566,543.0,10
351830,35.713762331894124,54.19270927417898,99.0,10
351840,23.73263482762106,38.819555144417,280.0,10
351850,3.2205549543528944,13.557492921294008,5.0,3
351860,58.19890361646501,115.60445906135946,218.0,10
351870,3.960345518247604,6.148716967726068,122.0,10
351880,9.36698153283358,14.003748287488992,1219.0,10
351885,37.2788108429172,115.24255677136453,27.0,8
351890,319.70697293798435,927.8589654372533,158.0,10
351900,1520.0912024784109,2351.4591643921895,1400.0,10
351905,14.753357487754778,34.295905068934765,20.0,8
351907,9.552576893864863,16.099980881272703,201.0,10
351910,25.409493962076432,51.90760446405398,28.0,10
351920,384.7746564937156,1738.283966068697,246.0,10
351925,17.612423042419003,54.112554112554115,14.0,6
351930,57.3218969253772,140.21669853409816,187.0,10
351940,57.656451596207674,225.93399499717583,69.0,9
351950,18.10967377799719,54.86968449931413,13.0,7
351960,19.034394174769464,46.171462342555316,105.0,10
351970,3.8601849936639128,11.072817616852827,29.0,9
351980,43.520189831893404,105.72221488040175,34.0,8
351990,219.38435224557674,408.94777736883003,173.0,10
352000,154.72085359283028,247.65157984628522,371.0,10
352010,112.40418107455439,481.54808365424566,321.0,10
352020,15.15415833826321,33.65870077415012,14.0,7
352030,8.75428262225022,24.42385862074981,26.0,9
352040,26.97921092337786,60.12848507864173,86.0,10
352042,4.9786738014284255,10.86484137331595,5.0,5
352044,142.79505151060397,221.99318163799256,371.0,10
352050,14.23914401659654,34.35584171026913,312.0,10
352060,136.1503355694436,373.67656217562796,66.0,9
352070,27.968903393107013,127.942681678608,11.0,6
352080,33.48690304375935,128.83277505797477,13.0,6
352090,210.57666749715924,565.6977073080062,295.0,10
352100,5.278960549054205,20.854057052529285,16.0,6
352110,4.245307145414556,26.504108136761197,3.0,2
352115,24.13119641949835,101.19409026512851,12.0,7
352120,4.659645128980519,23.70791844476055,2.0,2
352130,61.16196926908076,110.40574109853712,92.0,10
352140,5.718081916779663,12.895460797799174,13.0,8
352150,104.05834895487985,218.48969001775228,79.0,10
352160,150.20831693396414,310.20376509819886,121.0,10
352170,131.24501526792116,326.24592192597595,234.0,10
352180,7.660525371608024,15.216647011830943,20.0,9
352190,91.04878015331474,205.39504313295907,135.0,10
352200,121.34660792474183,228.2453637660485,42.0,9
352210,4.869290609812592,10.074777235481127,46.0,10
352215,36.475276291984144,120.1923076923077,12.0,6
352220,40.146507871464095,54.962937313592214,665.0,10
352230,3.7608065178633496,10.390417873513703,57.0,9
352240,15.768874903306335,56.50292120102609,143.0,9
352250,31.214988178791845,41.65119622235551,679.0,10
352260,44.033281065637325,77.22646661334363,320.0,9
352265,14.923199821800605,25.873488988243086,6.0,6
352270,151.88055673214637,213.5991456034176,633.0,10
352280,144.61129624486816,242.74605433627679,216.0,10
352290,29.525959192449005,96.47495361781077,39.0,10
352300,106.34217354105094,315.5996393146979,49.0,9
352310,16.368725678910327,24.203847033920947,563.0,10
352320,233.6353010924157,395.2934843859074,1147.0,10
352330,1.8131653310811984,12.164710175780062,3.0,2
352340,6.587488117187959,10.592846297800218,73.0,10
352350,12.45917175621876,27.106147674292533,24.0,9
352360,32.65838490883981,154.10605964289772,53.0,8
352370,9.864682537959672,33.93586460947455,6.0,4
352380,7.701163379413435,38.201961033999744,6.0,4
352390,5.817125070577731,10.983512527306234,95.0,10
352400,9.41918157862646,18.474726574046702,51.0,10
352410,116.2844148870015,228.61192554109584,467.0,10
352420,19.02895573781052,57.82853838369235,13.0,7
352430,34.96061949245326,61.73782722977739,259.0,10
352440,15.230106796537722,37.60388072049035,335.0,10
352450,57.39296925156242,155.81717451523548,35.0,9
352460,3.9643522005101213,11.209505660800358,7.0,6
352470,29.847891544502733,80.02384710643773,146.0,10
352480,41.52884165522126,87.73540633735284,202.0,9
352490,3.1280628694168264,15.860428231562253,2.0,2
352500,28.205819478454924,47.91837951835762,326.0,10
352510,18.520023621011063,34.38056535401668,76.0,10
352520,25.053350068139643,70.07708479327259,69.0,10
352530,77.09333202296256,123.49773822713703,1091.0,10
352540,15.75932508274234,32.05652205969566,5.0,5
352550,2.276334643831246,15.1285930408472,3.0,2
352560,162.30259703343785,290.3979904459061,70.0,10
352570,21.94967940468343,56.82302468960423,76.0,10
352580,19.38949684212077,42.462845010615716,9.0,7
352585,55.954157712991616,154.46400988569664,18.0,7
352590,9.0246738522389,18.617440245177367,366.0,10
352600,264.7112234471853,471.3340521177628,520.0,10
352610,35.70945644295976,129.70841548199647,69.0,8
352620,15.783108210880837,28.622312682864774,48.0,10
352630,6.108300163874402,20.69108214359611,3.0,3
352640,98.42213102133044,254.40601725536467,271.0,8
352650,119.74321019817553,211.83133765915224,120.0,10
352660,9.908617273075354,55.50159567087554,7.0,3
352670,75.16475666310214,164.71231684890284,728.0,10
352680,69.74200470472854,107.57600318307078,454.0,10
352690,19.258776852922253,27.767433047818788,562.0,10
352700,37.183578880492874,106.88042752171009,28.0,7
352710,21.47485899611305,36.571667406807556,161.0,10
352720,10.422854877064863,26.05464678961439,91.0,10
352725,77.5220653536853,141.73540833971143,17.0,8
352730,7.751576400050783,22.501789915106883,34.0,9
352740,142.12847614962868,308.1664098613251,293.0,10
352750,135.87357881750512,253.80710659898475,32.0,8
352760,5.348585643915195,16.79261125104954,7.0,5
352770,86.34060364683641,297.730696630284,45.0,10
352780,24.215957280540028,43.85003288752467,11.0,8
352790,3.755163349605708,37.55163349605708,1.0,1
352800,115.02208759184914,316.0826574742392,191.0,10
352810,45.24599738359824,111.20721611268998,36.0,9
352820,32.31826265305866,133.83297644539613,12.0,5
352830,131.61589092501143,500.0,42.0,10
352840,5.99189446261727,10.933980624986333,27.0,9
352850,18.323083275218163,54.3927364776519,175.0,10
352860,12.700924637189473,62.55212677231026,12.0,4
352870,104.46108625121224,173.70158068438423,56.0,10
352880,42.73084528466906,100.62531445410767,59.0,10
352885,74.4696851539298,187.68768768768768,21.0,10
352890,107.16261408256605,153.0221882172915,43.0,10
352900,16.962877645126724,26.38318352545151,385.0,10
352910,47.12242190732583,189.3939393939394,10.0,6
352920,210.69779110257363,414.60452739851826,527.0,10
352930,73.7691748645941,137.4322704321538,591.0,10
352940,16.25427408541795,26.140833958794758,719.0,10
352950,17.574126602456396,39.30045195519749,9.0,8
352960,23.224119111674405,77.08119218910585,9.0,5
352965,10.487107592500962,53.19148936170213,2.0,2
352970,159.09764609092173,319.44569423198055,344.0,10
352980,46.73677189710843,86.22716939719369,59.0,10
352990,7.3618430013254,19.36108422071636,15.0,8
353000,26.268003797899162,164.20361247947454,8.0,3
353010,239.89181517553698,526.9710363544144,682.0,10
353020,58.31371409176425,140.29180695847361,103.0,10
353030,89.83632332710285,145.76259560311416,517.0,10
353040,27.336495786861946,102.64832683227263,13.0,5
353050,93.98016845575636,141.59227362935252,637.0,10
353060,30.3774365210116,61.81201297928649,1247.0,10
353070,39.34538805057279,56.03005509622085,572.0,10
353080,27.255598396671893,45.910169102456194,246.0,10
353090,41.81944521618858,92.41546295526167,14.0,7
353100,40.36014768369799,89.80691513246519,9.0,6
353110,6.420568256247591,14.995243294609189,32.0,10
353120,15.731604179736243,54.96015388843089,12.0,6
353130,101.2446792981231,200.08403529482382,497.0,10
353140,13.29497078431977,39.86128273607845,32.0,9
353150,954.2445200783743,1422.6563329440494,1820.0,10
353160,45.739740159693866,144.02304368698992,19.0,8
353170,2.4287112529478483,24.28711252947848,1.0,1
353180,11.524089006134691,18.361426315596198,63.0,10
353190,100.63263847975765,158.04301518587235,312.0,10
353200,16.04228670972035,41.974479516454,20.0,8
353205,6.797652148575301,23.13208420078649,3.0,3
353210,228.5455122832762,1114.0080587817017,97.0,8
353215,181.48773995946868,413.0808950086058,53.0,10
353220,39.13522984605994,85.07018290089324,18.0,10
353230,2.9505438189382476,14.806040864672786,2.0,2
353240,78.72937114789849,130.4964539007092,137.0,10
353250,396.1833655490679,924.4464734078978,351.0,10
353260,157.7490492779445,370.0114527354418,178.0,10
353270,10.356296926605967,40.04805766920305,5.0,4
353280,24.641152455725393,58.18181818181818,16.0,8
353282,5.471608494096156,11.615750958299454,5.0,5
353284,44.887333232231065,106.32642211589581,9.0,5
353286,82.96651202657958,164.33853738701725,10.0,8
353290,24.46836709687389,41.662326840954066,25.0,10
353300,363.21144244266384,712.564720356795,725.0,10
353310,56.974472525778296,173.61111111111111,13.0,7
353320,108.66762915262863,321.0747012399905,36.0,9
353325,24.26853625967829,85.16074089844582,12.0,5
353330,105.3718686950937,225.60631697687538,40.0,10
353340,4.907658394774993,12.173066221480244,28.0,10
353350,242.23648783221537,371.14295776555684,933.0,10
353360,4.269379054230965,14.73309524651415,3.0,3
353370,37.48056972874213,116.14401858304298,16.0,8
353380,174.88209059445117,342.85714285714283,46.0,9
353390,105.09612724852609,154.68779475570645,552.0,10
353400,148.58165063232812,515.2262229538435,59.0,9
353410,11.147255353797817,32.56798567008631,7.0,4
353420,34.345029799002724,69.06077348066297,21.0,8
353430,144.11432328145582,287.36870842134,601.0,10
353440,21.457160522155004,29.569966145994858,1474.0,10
353450,15.353670877188227,76.86395080707149,4.0,3
353460,149.36517606712124,579.712976940125,471.0,10
353470,6.922177585003771,12.658029411612924,75.0,10
353475,60.23362667408412,126.07449856733524,56.0,10
353480,178.34594909494317,255.59883154819863,146.0,10
353490,430.69302837796613,1315.770459660227,580.0,10
353500,45.68240555299053,144.28726150893814,53.0,10
353510,10.953319183091953,18.15748714903847,13.0,8
353520,37.36468561653457,247.76473122912853,35.0,8
353530,123.20569203485157,217.77596297808628,270.0,10
353540,68.09378859112061,186.6271960872643,105.0,10
353550,3.6319449280128397,10.940200862087828,16.0,6
353560,6.725534484872151,17.22356183258698,12.0,8
353570,14.518274553126261,32.00512081933109,9.0,7
353580,37.20453242051873,104.36234606553955,70.0,9
353590,27.349315538199004,99.9750062484379,11.0,4
353600,714.2170381055896,1204.6026609133405,783.0,10
353610,14.838440154131021,32.66906239790918,9.0,6
353620,23.77672083384531,59.43375837475686,45.0,9
353625,69.69698853786396,325.1277287505806,15.0,5
353630,19.776654288337586,50.14685865749695,27.0,9
353640,61.564617544986255,146.90759512266783,43.0,10
353650,16.976649680522677,28.685185822633755,158.0,10
353657,21.79244169606374,108.93246187363836,4.0,3
353660,126.05698881858957,728.3817472233383,109.0,10
353670,68.03902965047277,164.04009525904826,295.0,10
353680,6.601109171567873,16.641704110500914,4.0,4
353690,19.778960743466577,119.61722488038276,5.0,3
353700,37.12351717846732,75.91573353577529,60.0,10
353710,7.55486958598897,13.317943709491255,34.0,10
353715,6.530662553575423,32.74394237066143,2.0,2
353720,5.497885097727375,18.38235294117647,6.0,4
353730,70.48077058079033,163.17439117058217,428.0,10
353740,56.56903741626222,147.34393175649475,145.0,10
353750,83.40924405155164,214.08949743828535,65.0,8
353760,3.2668227900188898,5.921714928643335,21.0,10
353770,54.993639590175874,208.15120103242998,30.0,8
353780,44.618771224905124,115.88600062346669,238.0,10
353790,81.73939130087896,144.32727348688996,225.0,10
353800,22.129316071897623,29.228049819550776,349.0,10
353810,18.37376839209641,53.20521517519147,29.0,10
353820,2.682398205945092,13.314692763464484,4.0,3
353830,88.86837800246145,199.6247055535593,32.0,9
353850,4.341290315196851,21.96675697444534,6.0,4
353860,6.407402851084049,18.845168098899443,17.0,7
353870,13.223928701624569,22.001165511742986,509.0,10
353880,1.6962218665075781,6.727664155005382,5.0,4
353890,59.27727949743711,163.16846703225224,139.0,10
353900,74.56355676340671,332.83699745992817,83.0,8
353910,15.773097507503465,29.25516353636417,27.0,10
353920,39.08033466362666,55.80802040979032,102.0,10
353930,33.391168043801,55.89219856692403,245.0,10
353940,16.17543733035409,45.82601390055755,21.0,7
353950,74.58332510154558,144.5998751337549,280.0,10
353960,18.842776463321254,61.52584085315833,9.0,6
353970,57.91498790806666,155.4243083618278,19.0,8
353980,19.41679925662685,33.10349106579338,217.0,10
353990,5.220873735605442,33.990482664853836,3.0,2
354000,81.79740384604312,229.23976608187135,172.0,10
354010,112.44348998148841,288.6002886002886,39.0,8
354020,62.77238642167224,118.09730479807206,277.0,10
354025,41.24712403765061,72.20216606498195,18.0,9
354030,19.32908613483751,38.80481179666278,5.0,5
354040,14.23576626009518,47.97313504437515,6.0,4
354050,10.117674758763737,44.340982152754684,9.0,4
354060,39.70079691036814,99.68872703598967,201.0,10
354070,62.37318260808395,136.75093454611877,335.0,10
354075,6.145766229388696,18.60378587042463,13.0,5
354080,23.86268425725399,45.362847698127105,39.0,10
354085,76.80697762856262,227.7163305139883,26.0,9
354090,16.32071426473904,29.245466952622348,32.0,9
354100,3.115490625928928,5.98562701313471,90.0,10
354105,5.905702150776901,20.132876988121605,3.0,3
354110,119.30186886309043,462.3996106108542,49.0,9
354120,28.172556355992903,51.90183139319345,38.0,9
354130,17.411851276795907,110.85972850678733,76.0,9
354140,50.22530537911456,78.55316039459261,1100.0,10
354150,189.21952984663872,284.21346461288607,735.0,10
354160,109.55093054502113,185.05667360629192,413.0,10
354165,11.262987317225612,85.98452278589853,4.0,2
354170,83.37113670751134,146.46931853222327,112.0,10
354180,102.3668750852007,388.9083343056042,30.0,8
354190,9.66656892740175,17.424638438752396,12.0,8
354200,66.33231809482302,115.74074074074073,42.0,10
354210,18.27294865055829,46.80727572293837,16.0,8
354220,279.1578891860273,510.25721128813916,819.0,10
354230,2.599428125812321,25.99428125812321,1.0,1
354240,352.21267964032984,732.7832573681357,671.0,10
354250,21.22929995261898,39.88300983780909,18.0,8
354260,8.191227114367226,23.924325518053667,45.0,10
354270,2.723392338189555,13.691128148959473,2.0,2
354280,26.83456999599493,149.38751120406334,9.0,4
354290,21.926198136649994,69.30540582165409,28.0,6
354300,6.870229429802015,16.79582657301314,12.0,7
354310,4.272858285693839,21.533161068044787,2.0,2
354320,11.238128514085352,45.46932298451542,5.0,4
354323,17.98164753828646,45.766590389016024,4.0,4
354325,52.99349679867804,121.21212121212122,40.0,9
354330,3.6926909435097444,6.155144821764592,44.0,10
354340,21.52872713252618,29.85731502568554,1410.0,10
354350,3.366696961178468,17.047391749062392,2.0,2
354360,13.84368507170519,55.60189046427579,5.0,3
354370,17.804931932328266,37.14710252600297,19.0,8
354380,434.2144891027783,947.8296230389864,434.0,10
354390,5.211813448154548,8.637289720101005,104.0,10
354400,27.237703322555113,100.05628165843288,87.0,9
354410,6.93530928220112,16.372976402447758,33.0,10
354420,127.35385853382945,354.1472506989748,141.0,10
354425,19.16692094613111,54.07678904043742,34.0,9
354430,6.033662190642945,20.665426741062205,6.0,4
354440,105.6520542301768,217.3913043478261,31.0,10
354450,50.35227255444658,140.24311143367026,15.0,8
354460,12.909611734328848,36.68378576669112,7.0,6
354470,169.05182597747165,651.9967400162999,41.0,10
354480,100.35619073637031,199.93335554815062,59.0,10
354490,69.90998869076681,189.44129971886912,77.0,9
354500,12.284465361515037,32.099307553737454,20.0,6
354510,130.6574636900641,255.95589683008467,66.0,10
354515,6.3973595425707845,25.926886180969664,5.0,3
354520,7.844537580416436,35.10424775629303,86.0,10
