cod_ibge,year,diarrhea,population,incidence_diarrhea
350340,2012,1.0,7932.0,12.607160867372668
350340,2013,3.0,8245.0,36.38568829593693
350340,2014,7.0,8299.0,84.34751174840342
350340,2015,3.0,8351.0,35.92384145611304
350340,2016,3.0,8402.0,35.7057843370626
350340,2017,2.0,8452.0,23.6630383341221
350340,2018,0.0,8505.0,0.0
350340,2019,2.0,8560.0,23.364485981308412
350350,2010,0.0,3666.96,0.0
350350,2011,0.0,3704.0,0.0
350350,2012,0.0,3711.0,0.0
350350,2013,0.0,3839.0,0.0
350350,2014,0.0,3849.0,0.0
350350,2015,0.0,3859.0,0.0
350350,2016,0.0,3869.0,0.0
350350,2017,0.0,3879.0,0.0
350350,2018,1.0,3876.0,25.799793601651185
350350,2019,2.0,3886.0,51.4668039114771
350360,2010,0.0,10494.99,0.0
350360,2011,0.0,10601.0,0.0
350360,2012,0.0,10622.0,0.0
350360,2013,1.0,10989.0,9.1000091000091
350360,2014,0.0,11020.0,0.0
350360,2015,1.0,11049.0,9.050592813829306
350360,2016,0.0,11078.0,0.0
350360,2017,1.0,11107.0,9.003331232556047
350360,2018,2.0,11099.0,18.019641409135957
350360,2019,2.0,11129.0,17.971066582801686
350370,2010,9.0,8543.7,105.34077741493732
350370,2011,6.0,8630.0,69.52491309385863
350370,2012,9.0,8709.0,103.34137099552187
350370,2013,1.0,9095.0,10.995052226498077
350370,2014,4.0,9187.0,43.539784478066835
350370,2015,5.0,9277.0,53.89673385792821
350370,2016,2.0,9365.0,21.356113187399895
350370,2017,1.0,9451.0,10.580890911014707
350370,2018,4.0,9573.0,41.78418468609632
350370,2019,3.0,9668.0,31.03020273065784
350380,2010,4.0,44575.74,8.973490961675566
350380,2011,1.0,45026.0,2.2209390130147026
350380,2012,2.0,45847.0,4.362335594477283
350380,2013,4.0,48420.0,8.261049153242462
350380,2014,5.0,49346.0,10.132533538686012
350380,2015,9.0,50246.0,17.911873581976675
350380,2016,1.0,51126.0,1.9559519618198178
350380,2017,2.0,51986.0,3.8471896279767632
350380,2018,3.0,53450.0,5.612722170252572
350380,2019,8.0,54408.0,14.703720041170417
350390,2010,11.0,75350.88,14.598369654077032
350390,2011,9.0,76112.0,11.824679419802397
350390,2012,8.0,77279.0,10.35210082946208
350390,2013,8.0,81326.0,9.836952512111749
350390,2014,17.0,82651.0,20.568414175267087
350390,2015,4.0,83939.0,4.765365324819213
350390,2016,9.0,85199.0,10.563504266482001
350390,2017,14.0,86430.0,16.198079370588918
350390,2018,11.0,88455.0,12.435701769261208
350390,2019,6.0,89824.0,6.679729248307802
350395,2010,0.0,1787.94,0.0
350395,2011,1.0,1806.0,55.370985603543744
350395,2012,1.0,1802.0,55.49389567147614
350395,2013,0.0,1854.0,0.0
350395,2014,0.0,1851.0,0.0
350395,2015,0.0,1848.0,0.0
350395,2016,3.0,1845.0,162.60162601626016
350395,2017,2.0,1842.0,108.57763300760044
350395,2018,0.0,1825.0,0.0
350395,2019,4.0,1822.0,219.53896816684963
350400,2010,23.0,94792.5,24.26352295803993
350400,2011,15.0,95750.0,15.66579634464752
350400,2012,16.0,96336.0,16.608536787908985
350400,2013,13.0,100204.0,12.973533990659055
350400,2014,13.0,100911.0,12.882639157277206
350400,2015,14.0,101597.0,13.779934446883274
350400,2016,11.0,102268.0,10.75605272421481
350400,2017,6.0,102924.0,5.8295441296490615
350400,2018,7.0,103666.0,6.752454999710609
350400,2019,9.0,104386.0,8.621845841396356
350410,2010,9.0,126500.22,7.114612132690361
350410,2011,6.0,127778.0,4.695644007575639
350410,2012,6.0,128914.0,4.654265634453977
350410,2013,8.0,134567.0,5.94499394353742
350410,2014,4.0,135895.0,2.9434489863497553
350410,2015,4.0,137187.0,2.915728166663022
350410,2016,7.0,138449.0,5.056013405658401
350410,2017,18.0,139683.0,12.886321170077963
350410,2018,8.0,141398.0,5.657788653304856
350410,2019,18.0,142761.0,12.608485510748734
