cod_ibge,deng_2010,deng_2011,deng_2012,deng_2013,deng_2014,deng_2015,deng_2016,deng_2017,deng_2018,deng_2019
353280,92,27,0,269,7,178,145,21,17,687
353284,13,19,2,8,5,305,13,10,2,24
353286,43,0,0,0,1,0,32,0,0,26
353290,141,12,2,140,26,58,33,8,12,592
353300,889,10,12,158,1,190,117,11,16,576
353310,1,0,20,3,1,79,2,0,0,46
353320,7,5,4,74,10,58,40,0,9,174
353325,1,48,46,5,7,189,8,3,1,64
353330,24,1,52,8,13,21,5,8,8,121
353340,384,76,11,199,630,2866,145,8,10,1191
353350,132,53,5,57,21,355,59,26,10,793
353360,48,20,0,99,3,181,247,0,5,237
353390,364,70,72,657,135,543,212,18,122,3514
353400,16,2,5,26,2,754,28,0,5,238
353410,3,19,0,8,11,219,14,1,5,79
353420,24,5,11,29,1,107,6,3,2,558
353430,427,195,18,530,37,506,795,9,32,834
353440,640,712,84,228,6589,2465,770,19,30,538
353460,825,16,1,1232,17,835,208,1,2,1168
353470,63,634,4,117,217,6260,91,14,24,337
353475,35,10,1,98,36,250,96,20,8,364
353480,57,9,2,38,34,167,12,0,2,163
353490,12,2,7,149,18,175,51,0,2,207
353500,121,7,1,38,11,334,69,6,149,1046
353510,19,2,1,115,5,464,16,6,5,265
353520,87,15,13,35,58,75,47,1,6,178
353530,79,29,5,24,79,569,22,4,6,95
353540,44,65,2,220,32,200,63,1,6,592
353550,123,17,1,1255,174,4687,78,23,4,1596
353560,2,4,3,3,6,170,18,3,5,21
353570,3,2,3,15,8,87,10,0,2,40
353580,4,2,0,0,1,102,5,1,1,4
353590,13,2,0,10,40,360,48,9,31,136
353600,174,54,22,243,33,446,18,1,4,279
353620,23,84,2,1011,19,139,23,3,4,8
353625,65,11,0,5,148,42,28,0,5,121
353630,6,1,2,33,20,137,178,9,2,321
353640,14,0,15,33,64,205,16,0,2,216
353650,252,230,221,752,1020,3714,170,21,20,967
353660,52,105,2,75,4,143,62,16,4,813
353670,44,16,18,112,74,707,141,0,5,1204
353690,15,7,1,60,30,39,14,0,2,35
353710,53,14,0,88,1368,394,38,16,29,2720
353715,1,1,0,19,11,74,0,4,0,24
353720,69,0,1,317,3,202,5,5,1,13
353730,1468,29,70,397,292,3044,161,46,13,2250
353740,428,68,44,368,39,365,204,7,240,686
353750,10,1,0,0,5,25,3,0,0,1
353760,688,133,7,1037,316,2280,131,13,16,422
353770,9,0,1,3,50,25,22,1,1,146
353780,9,7,8,18,6,195,12,0,0,8
353790,2,0,1,26,2,41,4,4,1,10
353800,61,1199,53,726,2890,951,415,39,41,196
353810,48,3,3,183,14,581,6,14,16,316
353820,5,0,1,1,7,28,11,1,2,13
353830,6,4,10,0,3,9,42,1,0,14
353850,1,20,11,82,5,138,11,0,2,45
353860,4,5,0,11,18,693,5,4,12,8
353870,801,724,3060,2806,932,3734,2325,63,13,4099
353880,8,7,2,2,4,68,8,1,3,21
353890,17,13,0,308,16,1524,78,3,2,1010
353900,105,10,1,64,39,956,82,6,37,80
353910,6,156,5,10,77,301,29,14,3,26
353920,17,5,3,40,26,1573,142,1,0,334
353930,252,249,8,222,104,4329,104,2,5,286
353940,12,21,0,77,0,427,32,3,4,674
353950,402,198,97,702,47,283,468,63,551,86
353960,32,5,1,302,35,321,63,6,6,149
353970,3,0,0,31,9,37,3,3,1,19
353980,29,14,6,11,26,399,201,59,19,306
353990,25,2,1,13,3,71,46,2,3,192
354000,29,4,0,94,106,897,9,1,1,290
354010,1,0,0,14,0,29,1,0,0,6
354020,1203,272,790,490,121,254,1015,8,7,98
354025,14,1,0,32,8,127,26,0,2,221
354030,57,4,5,244,46,123,41,1,4,138
354040,4,0,0,136,2,119,80,0,1,39
