"cod_ibge","deng_2010","deng_2011","deng_2012","deng_2013","deng_2014","deng_2015","deng_2016","deng_2017","deng_2018","deng_2019","leiv_2010","leiv_2011","leiv_2012","leiv_2013","leiv_2014","leiv_2015","leiv_2016","leiv_2017","leiv_2018","leiv_2019","lept_2010","lept_2011","lept_2012","lept_2013","lept_2014","lept_2015","lept_2016","lept_2017","lept_2018","lept_2019","ltan_2010","ltan_2011","ltan_2012","ltan_2013","ltan_2014","ltan_2015","ltan_2016","ltan_2017","ltan_2018","ltan_2019","mala_2010","mala_2011","mala_2012","mala_2013","mala_2014","mala_2015","mala_2016","mala_2017","mala_2018","mala_2019"
"350590",91,283,5,177,17,597,4260,6,10,575,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,1,5,2,2,5,3,0,2,0,2,1,1,1,0,1,0,2,2,2,0,0,0,0,0,1
"350600",633,4362,37,7462,410,8558,1400,77,197,26341,44,50,44,32,28,23,17,28,9,9,5,4,5,4,3,6,5,8,12,4,0,1,1,2,1,4,1,2,2,2,1,0,3,1,2,2,0,0,0,2
"350610",513,128,12,917,700,6322,101,11,95,685,0,0,0,0,0,1,0,1,0,3,6,4,2,4,6,8,4,7,6,8,0,1,1,0,4,2,1,0,1,0,1,2,0,0,0,1,0,0,0,1
"350620",18,1,3,28,12,16,19,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350635",778,44,25,330,742,557,812,13,15,50,1,0,0,1,0,1,1,0,1,0,10,12,6,13,8,18,16,19,15,17,1,0,0,2,0,4,1,1,0,1,0,0,153,2,127,4,0,2,123,0
"350640",89,2,17,89,47,215,344,4,9,811,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350650",730,132,159,367,3871,4588,4792,85,33,7941,14,32,35,29,18,20,4,20,14,16,2,6,2,1,5,4,2,8,3,2,1,4,2,5,2,6,1,5,0,1,0,1,0,1,0,0,0,0,1,1
"350670",28,22,0,128,805,123,41,2,3,443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350680",1,11,0,6,56,81,11,0,2,134,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350700",12,11,4,33,3,906,20,2,1,317,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,2,1,0,1,0,0,1,1,1,0,3,5,0,0,0,1,0,2,0,0,0,0,0,0
"350710",2,1,1,6,24,429,8,7,19,23,0,0,0,0,0,0,0,0,0,0,7,4,1,5,1,8,4,4,3,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"350720",1,0,0,19,1,37,2,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350740",186,101,214,45,12,577,123,1,5,632,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350745",1,1,0,2,0,7,0,0,2,78,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350750",25,30,6,27,20,751,106,6,6,100,0,0,0,0,0,0,0,1,0,0,25,26,16,10,7,7,6,3,11,9,2,2,2,2,0,1,1,2,1,1,0,3,0,1,0,1,0,2,0,0
"350760",40,21,10,32,298,694,248,5,15,51,0,1,1,0,0,0,0,0,0,0,18,41,19,25,26,36,30,14,18,13,0,3,0,0,4,1,0,0,0,1,3,2,0,2,0,2,0,1,0,1
"350770",14,0,9,5,38,178,20,1,7,90,1,0,1,0,0,2,2,1,1,10,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"350775",5,0,1,10,24,18,20,0,10,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350780",200,148,2,119,13,317,355,6,9,1210,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
"350790",109,13,258,7,219,266,17,4,7,266,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350810",100,10,70,302,1566,823,589,9,1,723,0,1,0,3,0,3,2,0,4,1,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"350820",8,15,6,84,0,2,89,1,22,173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350830",1,1,0,9,0,104,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350840",8,3,6,6,22,264,112,14,26,104,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,0,5,2,0,1,0,4,3,2,3,1,3,2,1,0,1,0,0,0,1,0,0,0,5
"350850",346,73,31,66,301,1226,60,33,35,1054,0,0,0,1,0,0,0,0,0,0,3,3,4,3,6,3,6,3,11,11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,0,1
"350860",148,460,41,363,21,465,49,14,36,150,1,0,0,0,0,1,0,0,0,0,1,5,0,1,2,3,2,8,5,11,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"350880",28,16,2,45,29,226,48,2,1,278,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350890",1,0,0,8,2,25,43,1,1,95,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350900",27,48,16,127,232,524,77,26,21,117,0,0,1,0,0,0,0,0,0,0,7,5,6,4,6,2,4,5,8,4,2,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"350920",19,64,14,55,257,3396,300,37,23,472,1,0,0,0,0,0,0,0,0,1,6,11,5,9,10,6,5,3,2,2,1,0,1,1,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0
"350925",143,197,2,510,5,37,42,12,1,31,0,0,0,0,0,0,0,0,0,0,9,2,4,4,5,4,6,7,6,6,1,2,4,3,2,3,6,1,0,0,0,1,0,0,0,0,0,0,0,0
"350930",9,177,12,119,93,169,67,3,4,323,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"350940",277,37,2,42,4,887,28,11,6,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"350950",2911,3362,1136,7281,42780,66758,3506,177,316,26363,3,4,6,0,4,2,5,1,2,3,338,450,335,296,345,419,233,176,131,195,11,8,8,12,6,4,8,3,10,6,8,10,9,7,7,1,5,6,9,2
