cod_ibge,inc_hosp_circ_media,inc_hosp_resp_media,inc_hosp_calor_media,inc_hosp_circ_max,inc_hosp_resp_max,inc_hosp_calor_max,inc_obit_circ_media,inc_obit_resp_media,inc_obit_calor_media,inc_obit_circ_max,inc_obit_resp_max,inc_obit_calor_max,total_hosp_circ,total_hosp_resp,total_hosp_calor,total_obit_circ,total_obit_resp,total_obit_calor
353540,738.5623111141032,1463.5187703395677,0,1019.7578075207138,2116.0082572569777,0,193.98395788558364,63.67278705665207,0,253.53362489700194,84.09884849268987,0,1130,2228,0,297,97,0
353550,889.8047540322561,1125.5017228532429,0,1077.989220107799,1554.989197104867,0,247.84887931074073,116.18940703324292,0,283.50515463917526,142.1369400581873,0,3942,4961,0,1094,513,0
353560,632.1263043830542,660.6086740423856,0,838.2133425192329,1080.9312638580932,0,153.50643574464965,81.00934640636534,0,198.01980198019803,99.08620499834856,0,1130,1176,0,275,145,0
353570,790.4722474411914,429.7726435059362,0,967.0878178131337,499.1420995164561,0,232.52302283431916,91.05476149798278,0,374.3565746373421,168.52039096730704,0,492,267,0,145,56,0
353580,607.5291910747671,557.5920082002574,0,926.6981744045964,871.4255896472553,0,139.71383593188568,74.34708703919742,0,219.0377503138137,113.87829875724117,0,1145,1055,0,265,142,0
353590,1451.1246902276882,908.047735901088,0,2162.618350607907,1269.2882030861126,0,206.90449204538513,98.05633809366138,0,338.27738745771535,323.5440517670483,0,574,360,0,82,39,0
353600,1052.6590026283304,2106.5743660401754,0,1323.4613604812587,2426.702751465945,0,255.16419153165654,98.287577802640115,0,324.3827716705713,180.42399639152006,0,1154,2315,0,280,108,0
353610,861.5941068834608,594.7275413689719,0,1094.4135903299575,910.523551041849,0,224.87404535933103,83.1309798165642,0,318.6968838526912,124.32012432012432,0,520,358,0,135,51,0
353620,778.4829448049966,772.3272853196854,0,1009.6643984692398,1107.6291333477413,0,203.77962341897762,96.85258434688718,0,259.3473092716663,118.61172708988705,0,1487,1473,0,390,186,0
353625,1403.82966123048,1118.0081279550495,0,1860.4651162790697,1674.418604651163,0,199.65934974417328,122.95078756451451,0,392.349190779794,323.9241092086997,0,297,237,0,42,26,0
353630,885.0771722635545,964.7096789074653,0,1213.3683388916484,1285.5271200035718,0,173.2020577829545,84.7636034008079,0,241.25452352231602,123.89015073301671,0,1226,1337,0,241,118,0
