cod_ibge,nome_municipio,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_mean
351550,Fernandópolis,64281.69,64931,65157,67543,67836,68120,68399,68670,68823,69116,67287.669
351560,Fernando Prestes,5486.58,5542,5550,5736,5748,5760,5771,5782,5771,5783,5692.9580000000005
351565,Fernão,1558.26,1574,1583,1646,1658,1669,1680,1691,1704,1716,1647.9260000000002
351570,Ferraz de Vasconcelos,168594.03,170297,172222,180326,182544,184700,186808,188868,191993,194276,182062.803
351580,Flora Rica,1702.8,1720,1688,1699,1666,1634,1602,1571,1499,1464,1624.58
351590,Floreal,2957.13,2987,2970,3042,3027,3011,2996,2982,2934,2917,2982.313
351600,Flórida Paulista,12852.18,12982,13112,13704,13854,14000,14143,14282,14486,14640,13805.518
351610,Florínea,2778.93,2807,2785,2843,2821,2799,2778,2758,2699,2676,2774.493
351620,Franca,317801.88,321012,323307,336734,339461,342112,344704,347237,350400,353187,337595.588
351630,Francisco Morato,154503.36,156064,157603,164718,166505,168243,169942,171602,174008,175844,165903.23599999998
351640,Franco da Rocha,132072.93,133407,135150,141824,143817,145755,147650,149502,152433,154489,143609.993
351650,Gabriel Monteiro,2679.93,2707,2706,2790,2790,2790,2791,2791,2776,2776,2759.693
351660,Gália,6877.53,6947,6884,7019,6956,6894,6834,6776,6615,6548,6835.053
351670,Garça,42680.88,43112,43108,44479,44506,44532,44557,44582,44370,44390,44031.688
351680,Gastão Vidigal,4197.6,4240,4285,4482,4534,4585,4634,4683,4754,4808,4520.26
351685,Gavião Peixoto,4397.58,4442,4464,4635,4662,4688,4714,4739,4762,4789,4629.258
351690,General Salgado,10551.42,10658,10646,10970,10966,10961,10956,10951,10876,10869,10840.442
351700,Getulina,10688.039999999999,10796,10825,11209,11249,11287,11325,11362,11370,11409,11152.004
351710,Glicério,4530.24,4576,4586,4745,4759,4773,4787,4800,4801,4815,4717.224
351720,Guaiçara,10674.18,10782,10891,11385,11511,11633,11752,11869,12039,12168,11470.418
351730,Guaimbê,5387.58,5442,5458,5654,5676,5696,5717,5737,5743,5765,5627.558
351740,Guaíra,37242.81,37619,37826,39314,39567,39813,40053,40287,40533,40790,39304.481
351750,Guapiaçu,17978.4,18160,18441,19409,19728,20037,20340,20637,21125,21454,19730.94
351760,Guapiara,17687.34,17866,17738,18129,18002,17879,17758,17640,17293,17157,17714.934
351770,Guará,19731.69,19931,20001,20733,20823,20911,20997,21081,21129,21220,20655.769
351780,Guaraçaí,8316.0,8400,8366,8586,8555,8525,8495,8466,8357,8323,8438.9
351790,Guaraci,9962.37,10063,10147,10584,10683,10778,10872,10964,11088,11188,10632.937
351800,Guarani d'Oeste,1948.32,1968,1965,2023,2021,2020,2018,2017,2002,2000,1998.232
351810,Guarantã,6346.89,6411,6417,6629,6640,6651,6662,6672,6654,6664,6574.689
351820,Guararapes,30424.68,30732,30862,32023,32187,32346,32502,32654,32774,32939,31944.368
351830,Guararema,25885.53,26147,26439,27679,28016,28344,28664,28978,29451,29798,27940.153000000002
351840,Guaratinguetá,111548.25,112675,113258,117663,118378,119073,119753,120417,121073,121798,117563.625
351850,Guareí,14751.99,14901,15225,16149,16513,16867,17213,17551,18143,18520,16583.398999999998
351860,Guariba,35465.76,35824,36151,37747,38128,38499,38861,39216,39714,40105,37971.076
351870,Guarujá,289816.56,292744,294669,306683,308989,311230,313421,315563,318107,320459,307168.156
351880,Guarulhos,1221101.64,1233436,1244518,1299249,1312197,1324781,1337087,1349113,1365899,1379182,1306656.364
351885,Guatapará,6941.88,7012,7056,7341,7394,7446,7496,7546,7602,7656,7349.088000000001
351890,Guzolândia,4742.1,4790,4824,5023,5064,5103,5142,5179,5226,5267,5036.01
351900,Herculândia,8663.49,8751,8803,9154,9217,9278,9338,9397,9462,9526,9158.948999999999
351905,Holambra,11496.87,11613,11917,12707,13046,13375,13698,14012,14579,14930,13137.386999999999
351907,Hortolândia,193818.24,195776,198758,209139,212527,215819,219039,222186,227353,230851,212526.624
351910,Iacanga,10044.539999999999,10146,10275,10776,10923,11066,11206,11343,11559,11710,10904.854000000001
351920,Iacri,6328.08,6392,6365,6530,6505,6481,6457,6434,6348,6321,6416.108
351925,Iaras,6564.69,6631,6878,7431,7704,7970,8230,8484,8956,9240,7808.869000000001
351930,Ibaté,30751.38,31062,31380,32810,33178,33535,33884,34226,34726,35104,33065.638
351940,Ibirá,10897.92,11008,11115,11615,11740,11861,11980,12096,12264,12393,11696.992
351950,Ibirarema,6735.96,6804,6880,7203,7290,7376,7459,7540,7663,7753,7270.395999999999
351960,Ibitinga,53123.4,53660,54146,56531,57098,57649,58188,58715,59451,60033,56859.44
351970,Ibiúna,71024.58,71742,72249,75241,75845,76432,77005,77566,78262,78878,75424.45800000001
351980,Icém,7439.85,7515,7567,7877,7938,7997,8055,8112,8181,8243,7892.485000000001
351990,Iepê,7580.43,7657,7685,7966,8002,8036,8070,8103,8124,8159,7938.2429999999995
352000,Igaraçu do Tietê,23185.8,23420,23475,24299,24376,24451,24525,24596,24598,24674,24159.98
352010,Igarapava,27826.92,28108,28259,29365,29549,29727,29902,30073,30246,30432,29348.791999999998
352020,Igaratá,8784.27,8873,8913,9251,9301,9349,9397,9443,9483,9534,9232.827000000001
352030,Iguape,28660.5,28950,29055,30124,30259,30390,30519,30644,30721,30857,30017.95
352040,Ilhabela,28473.39,28761,29308,30983,31599,32197,32782,33354,34333,34970,31676.039
352042,Ilha Comprida,9111.96,9204,9376,9908,10102,10291,10476,10656,10965,11166,10125.596
352044,Ilha Solteira,24894.54,25146,25226,26138,26242,26344,26443,26540,26582,26686,26024.154000000002
352050,Indaiatuba,203749.91999999998,205808,209859,222042,226602,231033,235367,239602,246908,251627,227259.792
352060,Indiana,4768.83,4817,4809,4951,4946,4941,4936,4931,4892,4885,4887.683
352070,Indiaporã,3853.08,3892,3880,3988,3978,3969,3960,3951,3908,3897,3927.608
352080,Inúbia Paulista,3617.46,3654,3678,3826,3854,3881,3907,3933,3963,3991,3830.446
352090,Ipaussu,13611.51,13749,13831,14383,14483,14579,14674,14766,14869,14971,14391.651000000002
352100,Iperó,28771.38,29062,29798,31745,32568,33367,34149,34913,36280,37133,32778.638
352110,Ipeúna,6083.55,6145,6270,6638,6778,6914,7047,7177,7401,7546,6799.955
