cod_ibge,ano,n_focos,frp_sum,frp_mean,frp_max,frp_std
351512,2010,1,12.8,12.8,12.8,
351512,2013,2,50.6,25.3,38.5,18.667619023324857
351512,2015,2,40.7,20.35,22.5,3.0405591591021537
351512,2016,4,115.1,28.775,58.0,19.624198497433383
351515,2010,7,127.0,18.142857142857142,47.3,13.80094889767332
351515,2011,4,47.5,11.875,15.5,4.129870861580703
351515,2012,4,83.3,20.825,39.5,14.789495145767033
351515,2013,5,164.2,32.839999999999996,101.1,38.25490818182681
351515,2014,1,23.7,23.7,23.7,
351515,2015,1,9.9,9.9,9.9,
351515,2017,1,12.7,12.7,12.7,
351518,2010,5,170.9,34.18,55.3,22.807827603697813
351518,2011,12,337.4,28.116666666666664,61.1,16.393115702155047
351518,2012,1,30.5,30.5,30.5,
351518,2013,6,54.1,9.016666666666667,14.7,3.6799003609699357
351518,2014,23,549.7,23.900000000000002,49.7,13.382077566656084
351518,2015,6,110.30000000000001,18.383333333333336,36.7,10.276461777609386
351518,2016,9,265.40000000000003,29.488888888888894,123.4,35.54059103491544
351518,2017,20,567.4,28.369999999999997,85.6,19.0462069714681
351518,2018,4,47.0,11.75,19.6,5.816356247686348
351518,2019,6,74.2,12.366666666666667,30.8,9.94397640115194
351519,2010,3,228.6,76.2,120.9,41.080774092025095
351519,2011,10,316.6,31.660000000000004,64.4,17.735162812898
351519,2012,6,118.9,19.816666666666666,34.0,11.473694551741678
351519,2013,5,374.4,74.88,240.8,93.67756935360781
351519,2014,7,362.6,51.800000000000004,126.8,34.52573919073517
351519,2015,3,98.2,32.733333333333334,56.6,23.80028011039646
351519,2016,7,189.9,27.12857142857143,115.8,39.36816456164017
351519,2017,3,174.4,58.13333333333333,124.3,57.49855070637288
351519,2018,1,20.6,20.6,20.6,
351519,2019,8,415.20000000000005,51.900000000000006,179.3,59.768290685183324
351520,2010,7,271.5,38.785714285714285,103.3,38.51815280147914
351520,2011,17,621.7,36.57058823529412,119.1,31.532022705217518
351520,2012,3,38.4,12.799999999999999,17.2,5.452522352086234
351520,2013,7,142.5,20.357142857142858,27.5,6.28990120294883
351520,2014,6,431.5,71.91666666666667,266.4,98.7996440614371
351520,2015,8,313.4,39.175,97.0,25.77228577921862
351520,2016,9,155.2,17.244444444444444,36.4,8.544751475483517
351520,2018,1,14.7,14.7,14.7,
351520,2019,1,12.7,12.7,12.7,
351530,2010,5,796.5,159.3,620.4,261.32011020968133
351530,2012,13,2107.3,162.10000000000002,922.8,243.5887962667139
351530,2013,7,383.0,54.714285714285715,148.7,47.07615916687301
351530,2016,9,1210.0,134.44444444444446,308.6,103.89794404981158
351530,2018,5,1090.3,218.06,379.1,160.5512628414987
351530,2019,12,777.6,64.8,187.0,58.34083241840768
351535,2010,5,192.1,38.42,81.1,28.018333283762612
351535,2012,1,18.9,18.9,18.9,
351535,2013,7,2743.3,391.90000000000003,1531.8,531.6845367947676
351535,2015,1,12.4,12.4,12.4,
351535,2016,7,201.8,28.82857142857143,61.3,23.86019797946043
351535,2018,4,126.5,31.625,45.7,11.308219724312638
351540,2010,4,42.4,10.6,17.5,6.21449917531574
351540,2011,2,46.0,23.0,26.0,4.242640687119285
351540,2014,4,130.0,32.5,98.4,44.01098347761235
351540,2016,1,8.4,8.4,8.4,
