cod_ibge,fire_incidence_mean,fire_incidence_max,fire_frp_mean,fire_frp_max,fire_total_foci,fire_frp_total,fire_years_with_fire,fire_recurrence,fire_cv,fire_dry_season_pct,fire_max_consecutive_years,fire_recurrence_norm,fire_risk_index
351550,9.5,21.0,37.81894905094906,546.9,95.0,4651.0,10.0,1.0,0.6359497880839249,0.8,10.0,1.0,43.62114479814452
351560,5.444444444444445,10.0,52.88858024691358,489.2,49.0,3166.4,9.0,0.9,0.588838287602184,0.8163265306122449,5.0,0.9,39.98219457834988
351565,1.6666666666666667,3.0,23.155555555555555,72.5,5.0,149.2,3.0,0.3,0.692820323027551,1.0,1.0,0.3,14.129089741038293
351570,1.0,1.0,6.3,6.6,3.0,18.9,3.0,0.3,0.0,1.0,2.0,0.3,10.81834539068803
351580,4.0,10.0,52.56333333333333,321.3,24.0,1964.9,6.0,0.6,0.8803408430829505,0.9166666666666666,3.0,0.6,29.810704345171768
351590,5.1,17.0,40.04352139037433,398.1,51.0,3026.1,10.0,1.0,1.051658156251914,0.9215686274509803,10.0,1.0,40.585762767708516
351600,6.8,12.0,29.59297619047619,208.7,68.0,2144.6,10.0,1.0,0.45353072573413244,0.8088235294117647,10.0,1.0,40.168158709174364
351610,4.0,9.0,62.248333333333335,302.4,24.0,1517.3999999999999,6.0,0.6,0.806225774829855,0.8333333333333334,2.0,0.6,31.416647985605472
351620,8.7,21.0,31.428173160173156,746.0,87.0,3526.8,10.0,1.0,0.6897615924703503,0.9195402298850575,10.0,1.0,41.94248604352463
351630,2.25,6.0,17.5,43.1,18.0,315.7,8.0,0.8,0.7417981870189156,0.9444444444444444,5.0,0.8,28.642620712366817
351640,9.7,18.0,24.909695378151262,95.0,97.0,2537.8,10.0,1.0,0.4812223702112798,0.979381443298969,10.0,1.0,41.63530196863922
351650,3.8,7.0,117.86238095238096,505.1,19.0,3372.8,5.0,0.5,0.6811673213444623,0.7894736842105263,3.0,0.5,37.48369806900976
351660,3.0,6.0,22.77261904761905,80.2,21.0,543.9,7.0,0.7,0.6085806194501846,0.9523809523809523,3.0,0.7,27.097184642001753
351670,6.7,17.0,17.922053921568626,298.3,67.0,1677.3,10.0,1.0,0.8732725153224924,0.9253731343283582,10.0,1.0,38.155544727433906
351680,4.142857142857143,13.0,50.4321978021978,249.4,29.0,1768.3000000000002,7.0,0.7,0.9994052928406506,1.0,4.0,0.7,32.56785229564268
351685,7.25,23.0,54.868892339544516,425.3,58.0,4121.9,8.0,0.8,1.0854442549057501,0.6896551724137931,4.0,0.8,38.707513419971306
351690,4.111111111111111,9.0,66.12629629629629,452.9,37.0,2439.7999999999997,9.0,0.9,0.6371446072500695,0.8378378378378378,8.0,0.9,41.14564861427469
351700,15.3,35.0,47.95864177766678,377.6,153.0,8781.4,10.0,1.0,0.6565293596783104,0.7124183006535948,10.0,1.0,49.7899119700697
351710,5.0,11.0,34.81281818181818,208.6,50.0,1777.4,10.0,1.0,0.8379870059984358,0.84,10.0,1.0,39.64105057667238
351720,10.6,20.0,58.441843864468865,437.2,106.0,6637.4,10.0,1.0,0.5593596275310481,0.7641509433962265,10.0,1.0,47.89184794368864
351730,5.222222222222222,11.0,36.705336700336694,215.8,47.0,2245.0,9.0,0.9,0.6755109730377677,0.8936170212765957,7.0,0.9,37.126795578234045
351740,29.9,79.0,110.45840999791912,3661.5,299.0,54654.9,10.0,1.0,0.9199114720521021,0.8160535117056856,10.0,1.0,71.44941283155457
351750,6.0,13.0,48.12019036519036,355.5,54.0,3829.4,9.0,0.9,0.8858454843945541,0.7222222222222222,7.0,0.9,39.62134173855696
351760,5.555555555555555,14.0,12.435291005291004,53.5,50.0,593.9,9.0,0.9,0.7149825172687791,0.96,5.0,0.9,33.360292517249675
351770,20.8,74.0,95.39251019567955,1457.7,208.0,25822.0,10.0,1.0,0.9940548952546585,0.9375,10.0,1.0,61.91060224209073
351780,7.7,36.0,72.23294444444444,1039.4,77.0,7101.5,10.0,1.0,1.320239865128629,0.6623376623376623,10.0,1.0,47.93494167277049
351790,7.6,15.0,75.06962545787546,1854.5,76.0,6015.8,10.0,1.0,0.5890923996624846,0.7368421052631579,10.0,1.0,48.3279439253312
351800,2.7142857142857144,5.0,21.61357142857143,95.8,19.0,397.6,7.0,0.7,0.5907880084379907,0.7894736842105263,4.0,0.7,26.683938585249074
351810,10.666666666666666,21.0,92.34122875891451,2755.0,96.0,9521.1,9.0,0.9,0.635843435917994,0.59375,5.0,0.9,50.564542859963446
351820,11.6,40.0,45.66617261904762,776.7,116.0,7803.8,10.0,1.0,0.9592709831589116,0.8448275862068966,10.0,1.0,46.54711094680947
351830,7.0,14.0,21.72984126984127,172.3,63.0,1455.1,9.0,0.9,0.4844521416518049,0.7936507936507936,5.0,0.9,36.01905127656212
351840,9.2,21.0,20.03987912087912,93.6,92.0,2028.5,10.0,1.0,0.6832376560187344,0.8695652173913043,10.0,1.0,40.440953436322495
351850,1.8888888888888888,7.0,23.45026455026455,100.9,17.0,559.3,9.0,0.9,1.0734286818173329,0.8235294117647058,5.0,0.9,32.34988977167726
351860,6.0,11.0,35.650090909090906,231.6,60.0,2824.4,10.0,1.0,0.5773502691896257,0.6166666666666667,10.0,1.0,40.55357953751424
351870,1.25,2.0,8.2,11.3,5.0,40.1,4.0,0.4,0.4,0.16666666666666666,2.0,0.4,14.326822464549089
351880,3.857142857142857,9.0,13.936031746031746,42.7,27.0,423.20000000000005,7.0,0.7,0.7695033107282677,0.8888888888888888,5.0,0.7,26.295089395798314
351885,7.888888888888889,17.0,51.767902990255934,436.5,71.0,5219.6,9.0,0.9,0.709871730270906,0.7605633802816901,9.0,0.9,41.68761949901776
351890,3.8333333333333335,11.0,32.828383838383836,140.2,23.0,1075.2,6.0,0.6,0.9956426807977282,0.9565217391304348,2.0,0.6,26.409352942861524
351900,2.888888888888889,6.0,58.99370370370371,495.0,26.0,1648.9,9.0,0.9,0.7018572150344099,0.7692307692307693,7.0,0.9,39.01731261542422
351905,1.6666666666666667,3.0,14.166666666666666,49.1,5.0,98.10000000000001,3.0,0.3,0.692820323027551,0.8,2.0,0.3,12.638573587638568
351907,2.5,5.0,23.474833333333333,109.6,25.0,459.5,10.0,1.0,0.6599663291074443,0.76,10.0,1.0,35.82677694755921
351910,9.222222222222221,16.0,51.5553086419753,632.4,83.0,4009.7,9.0,0.9,0.3419437577426115,0.6506024096385542,7.0,0.9,42.68396013131803
351920,3.125,6.0,32.65395833333333,327.3,25.0,1249.0,8.0,0.8,0.578470890735715,0.8,4.0,0.8,31.83239659415671
351925,9.9,23.0,43.971590858416945,320.4,99.0,5230.9,10.0,1.0,0.6924085041856389,0.9090909090909091,10.0,1.0,44.95083896977096
351930,4.333333333333333,11.0,46.45678210678211,416.2,39.0,2608.4,9.0,0.9,0.8240109725241751,0.8717948717948718,6.0,0.9,38.05602869045808
351940,4.833333333333333,12.0,37.12876984126984,173.2,29.0,1356.1,6.0,0.6,0.8421138681580503,0.8275862068965517,3.0,0.6,27.896127101542596
351950,4.428571428571429,10.0,36.998333333333335,109.7,31.0,1119.9,7.0,0.7,0.7003294403412379,0.8709677419354839,4.0,0.7,30.56133641507057
351960,15.9,42.0,44.340203296703294,1235.6,159.0,7569.8,10.0,1.0,0.7062531843335745,0.8427672955974843,10.0,1.0,49.65412775093133
351970,15.6,40.0,15.106579330456265,116.0,156.0,2419.9,10.0,1.0,0.6142558498745624,0.9166666666666666,10.0,1.0,44.57456951162837
351980,9.0,16.0,131.8639761904762,1251.5,90.0,11940.699999999999,10.0,1.0,0.531581484978049,0.9111111111111111,10.0,1.0,58.82862008591925
351990,4.666666666666667,13.0,65.41207264957265,640.9,28.0,2837.3,6.0,0.6,0.9646824580648076,0.6428571428571429,3.0,0.6,32.45704796677485
352000,2.4,6.0,26.129333333333335,113.6,24.0,864.8,10.0,1.0,0.7401618108041238,0.8333333333333334,10.0,1.0,36.1895703782379
352010,12.0,28.0,91.05141360696916,868.8,108.0,9739.699999999999,9.0,0.9,0.7883703303510209,0.8981481481481481,7.0,0.9,51.3822613034162
352020,3.875,13.0,16.755929487179486,40.9,31.0,439.1,8.0,0.8,1.0362824776909039,0.8709677419354839,5.0,0.8,29.7764940964436
352030,4.5,8.0,9.54186507936508,29.2,27.0,271.0,6.0,0.6,0.5752079602464348,0.4444444444444444,3.0,0.6,23.063834106912584
352040,1.0,1.0,7.35,7.8,2.0,14.7,2.0,0.2,0.0,0.6666666666666666,1.0,0.2,7.992453890683423
352042,1.0,1.0,8.3,8.3,1.0,8.3,1.0,0.1,,0.0,1.0,0.1,5.149980628774496
352044,5.666666666666667,10.0,49.7021164021164,523.5,51.0,3117.9,9.0,0.9,0.3743506488634663,0.7843137254901961,5.0,0.9,39.625754817263974
352050,5.5,11.0,20.39960606060606,99.4,55.0,1055.9,10.0,1.0,0.49422746758485125,0.9636363636363636,10.0,1.0,37.63793325532576
352060,1.3333333333333333,2.0,30.95,44.1,4.0,119.7,3.0,0.3,0.4330127018922193,0.75,2.0,0.3,15.163647830342263
352070,1.6666666666666667,3.0,40.07777777777778,200.5,10.0,510.1,6.0,0.6,0.4898979485566356,0.7,3.0,0.6,25.935092338847653
352080,1.0,1.0,10.3,10.3,1.0,10.3,1.0,0.1,,1.0,1.0,0.1,5.4816158668609605
352090,3.25,11.0,51.587026515151514,194.6,26.0,1527.1,8.0,0.8,1.0105111149514416,0.8846153846153846,8.0,0.8,35.068544680088436
352100,3.111111111111111,6.0,21.989814814814814,74.7,28.0,615.2,9.0,0.9,0.49390416735497605,0.9285714285714286,7.0,0.9,33.05334795135405
