Variable_Vuln,Nombre_Vuln,Variable_X,Nombre_X,Variable_Y,Nombre_Y,r_Bajo,r_Alto,Diferencia,Direccion
pct_pobreza,% Pobreza,forest_cover,Cobertura Forestal,persist_dengue,Persist. Dengue,-0.09881680461165553,-0.2416771485558432,0.14286034394418767,Alto > Bajo
pct_pobreza,% Pobreza,forest_cover,Cobertura Forestal,persist_leptospirose,Persist. Leptospirosis,0.352810000471642,0.13257650896981021,0.2202334915018318,Bajo > Alto
pct_pobreza,% Pobreza,forest_cover,Cobertura Forestal,incidence_mean_dengue,Incid. Dengue,-0.40804001426293557,-0.4611515904301996,0.05311157616726403,Alto > Bajo
pct_pobreza,% Pobreza,forest_cover,Cobertura Forestal,flooding_risks,Riesgo Inundaciones,0.3447393558325152,0.303514459494487,0.04122489633802817,Bajo > Alto
pct_pobreza,% Pobreza,forest_cover,Cobertura Forestal,hydric_stress_risk,Riesgo Estres Hidrico,0.04755048369846298,-0.011001958931339423,0.0585524426298024,Bajo > Alto
pct_pobreza,% Pobreza,forest_cover,Cobertura Forestal,pol_deficit,Deficit Polinizacion,-0.7456327849359458,-0.7253115189809671,0.02032126595497863,Bajo > Alto
pct_preta,% Pob. Negra,idx_gobernanza,UAI General,persist_dengue,Persist. Dengue,0.2692952883785658,0.47267965912011645,0.20338437074155064,Alto > Bajo
pct_preta,% Pob. Negra,idx_gobernanza,UAI General,persist_leptospirose,Persist. Leptospirosis,0.4803848977786017,0.6496270995195564,0.16924220174095472,Alto > Bajo
pct_preta,% Pob. Negra,idx_gobernanza,UAI General,incidence_mean_dengue,Incid. Dengue,0.0036114260522215657,-0.024636115780965136,0.0282475418331867,Alto > Bajo
pct_preta,% Pob. Negra,idx_gobernanza,UAI General,flooding_risks,Riesgo Inundaciones,0.0599183644820795,0.3182954646617003,0.2583771001796208,Alto > Bajo
pct_preta,% Pob. Negra,idx_gobernanza,UAI General,hydric_stress_risk,Riesgo Estres Hidrico,0.18431873064236973,0.3181157617055604,0.13379703106319066,Alto > Bajo
pct_preta,% Pob. Negra,idx_gobernanza,UAI General,pol_deficit,Deficit Polinizacion,-0.12814679143545554,-0.2402579641097722,0.11211117267431667,Alto > Bajo
pct_preta,% Pob. Negra,idx_biodiv,Indice Biodiversidad,persist_dengue,Persist. Dengue,-0.19160640677705848,0.1630448931199106,0.3546512998969691,Bajo > Alto
pct_preta,% Pob. Negra,idx_biodiv,Indice Biodiversidad,persist_leptospirose,Persist. Leptospirosis,0.2321804586341549,0.5019259285170661,0.26974546988291115,Alto > Bajo
pct_preta,% Pob. Negra,idx_biodiv,Indice Biodiversidad,incidence_mean_dengue,Incid. Dengue,-0.6030560989156947,-0.3561749861141298,0.24688111280156488,Bajo > Alto
pct_preta,% Pob. Negra,idx_biodiv,Indice Biodiversidad,flooding_risks,Riesgo Inundaciones,0.2118640681660362,0.3048722233060335,0.09300815513999727,Alto > Bajo
pct_preta,% Pob. Negra,idx_biodiv,Indice Biodiversidad,hydric_stress_risk,Riesgo Estres Hidrico,0.15142466674634547,0.3038702859541024,0.15244561920775695,Alto > Bajo
pct_preta,% Pob. Negra,idx_biodiv,Indice Biodiversidad,pol_deficit,Deficit Polinizacion,-0.6485409719327531,-0.48737515223231814,0.16116581970043492,Bajo > Alto
pct_preta,% Pob. Negra,forest_cover,Cobertura Forestal,persist_dengue,Persist. Dengue,-0.3180308250239726,0.12015987020324237,0.438190695227215,Bajo > Alto
pct_preta,% Pob. Negra,forest_cover,Cobertura Forestal,persist_leptospirose,Persist. Leptospirosis,0.07102892503695728,0.3965789424113995,0.3255500173744422,Alto > Bajo
pct_preta,% Pob. Negra,forest_cover,Cobertura Forestal,incidence_mean_dengue,Incid. Dengue,-0.6402956233863789,-0.35236530677541195,0.28793031661096696,Bajo > Alto
pct_preta,% Pob. Negra,forest_cover,Cobertura Forestal,flooding_risks,Riesgo Inundaciones,0.33185245660029006,0.33176095233457553,9.150426571452597e-05,Bajo > Alto
pct_preta,% Pob. Negra,forest_cover,Cobertura Forestal,hydric_stress_risk,Riesgo Estres Hidrico,-0.028603711950144783,0.11435151140640225,0.14295522335654703,Alto > Bajo
pct_preta,% Pob. Negra,forest_cover,Cobertura Forestal,pol_deficit,Deficit Polinizacion,-0.7540739189422758,-0.7782549287046697,0.0241810097623939,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_gobernanza,UAI General,persist_dengue,Persist. Dengue,0.22430181192436255,0.47549603655165107,0.2511942246272885,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_gobernanza,UAI General,persist_leptospirose,Persist. Leptospirosis,0.37727794684795224,0.6562707196429945,0.2789927727950423,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_gobernanza,UAI General,incidence_mean_dengue,Incid. Dengue,-0.021616396330004804,0.02332670799451671,0.04494310432452152,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_gobernanza,UAI General,flooding_risks,Riesgo Inundaciones,-0.0012924092828169175,0.4018226657251213,0.40311507500793825,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_gobernanza,UAI General,hydric_stress_risk,Riesgo Estres Hidrico,0.09047373472025062,0.1998911083580227,0.10941737363777208,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_gobernanza,UAI General,pol_deficit,Deficit Polinizacion,-0.0786049677769593,-0.2917919072371466,0.2131869394601873,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_biodiv,Indice Biodiversidad,persist_dengue,Persist. Dengue,-0.11451166006095534,0.05997202933196038,0.17448368939291573,Bajo > Alto
pct_indigena,% Pob. Indigena,idx_biodiv,Indice Biodiversidad,persist_leptospirose,Persist. Leptospirosis,0.318049444241137,0.40715634886721747,0.08910690462608045,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_biodiv,Indice Biodiversidad,incidence_mean_dengue,Incid. Dengue,-0.4178294573643411,-0.4579825641768698,0.040153106812528705,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_biodiv,Indice Biodiversidad,flooding_risks,Riesgo Inundaciones,0.1643505196519922,0.3116320079618182,0.14728148830982601,Alto > Bajo
pct_indigena,% Pob. Indigena,idx_biodiv,Indice Biodiversidad,hydric_stress_risk,Riesgo Estres Hidrico,0.22469630010589836,0.199170405099246,0.025525895006652366,Bajo > Alto
pct_indigena,% Pob. Indigena,idx_biodiv,Indice Biodiversidad,pol_deficit,Deficit Polinizacion,-0.6062003429206211,-0.5547012842422518,0.051499058678369236,Bajo > Alto
pct_indigena,% Pob. Indigena,forest_cover,Cobertura Forestal,persist_dengue,Persist. Dengue,-0.20457900991647263,0.09892461248428855,0.3035036224007612,Bajo > Alto
pct_indigena,% Pob. Indigena,forest_cover,Cobertura Forestal,persist_leptospirose,Persist. Leptospirosis,-0.009929054117562923,0.45449702605759923,0.4644260801751621,Alto > Bajo
pct_indigena,% Pob. Indigena,forest_cover,Cobertura Forestal,incidence_mean_dengue,Incid. Dengue,-0.40355481394956655,-0.3573268274442659,0.04622798650530063,Bajo > Alto
pct_indigena,% Pob. Indigena,forest_cover,Cobertura Forestal,flooding_risks,Riesgo Inundaciones,0.1956829320151634,0.45099971745800194,0.25531678544283853,Alto > Bajo
pct_indigena,% Pob. Indigena,forest_cover,Cobertura Forestal,hydric_stress_risk,Riesgo Estres Hidrico,-0.04216039008127389,0.05948485675206581,0.1016452468333397,Alto > Bajo
pct_indigena,% Pob. Indigena,forest_cover,Cobertura Forestal,pol_deficit,Deficit Polinizacion,-0.7157028302214031,-0.8233972188142438,0.10769438859284064,Alto > Bajo
