variable,type,label,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,delta_aic,aic_weight,outcome,outcome_label,predictor_dimension
idx_gobernanza_100,composite,Gobernanza (idx),5040.728989076526,5058.605990343709,5040.791489076526,-2516.364494538263,0.02224562032603532,0.026269027593953196,0.39708522192900175,0.1596559988925351,0.37889409714913325,645,True,0.0,0.19256489313731312,incidence_mean_leptospirose,Leptospirosis,Gobernanza
UAI_mob,specific,UAI Movilidad,5040.765207286011,5058.642208553194,5040.827707286011,-2516.3826036430055,1.648102454539424,1.9969489077345073,0.40919545918722855,0.15961474323778116,0.3788068351545486,645,True,0.036218209485014086,0.18910910041439924,incidence_mean_leptospirose,Leptospirosis,Gobernanza
UAI_housing,specific,UAI Vivienda,5040.963358570067,5058.84035983725,5041.025858570067,-2516.4816792850334,0.8492637911649394,1.2221595457533598,0.48712560187011766,0.15951634126361425,0.3816639103747906,645,True,0.23436949354072567,0.17127123292786803,incidence_mean_leptospirose,Leptospirosis,Gobernanza
UAI_Crisk,specific,UAI Riesgo Clim.,5041.151683792952,5059.028685060135,5041.214183792952,-2516.575841896476,1.1905617602787453,2.194119974781387,0.5873951129892532,0.15926554531222964,0.3802212421883484,645,True,0.4226947164261219,0.155879901085321,incidence_mean_leptospirose,Leptospirosis,Gobernanza
UAI_env,specific,UAI Ambiental,5041.194044313934,5059.071045581117,5041.256544313934,-2516.597022156967,1.0874983366730793,2.1662425624754262,0.6156530481171087,0.1592590895138223,0.3812202328274153,645,True,0.4650552374077961,0.15261304275632115,incidence_mean_leptospirose,Leptospirosis,Gobernanza
UAI_food,specific,UAI Alimentación,5041.387222185413,5059.264223452596,5041.449722185413,-2516.6936110927063,0.3901965732613693,1.6075010111599286,0.8082107810859597,0.1591043618053995,0.38248316195863247,645,True,0.658233108886634,0.1385618296787775,incidence_mean_leptospirose,Leptospirosis,Gobernanza
fire_risk_index,specific,Riesgo Fuego (idx),5038.7872302558535,5056.6642315230365,5038.8497302558535,-2515.3936151279268,-0.06802275273239519,0.04163834741664315,0.10233101812969554,0.1615100254359234,0.3744204505080442,645,True,0.0,0.40306111463158967,incidence_mean_leptospirose,Leptospirosis,Riesgo Climático
flooding_risks,specific,Riesgo Inundación,5039.679952457438,5057.556953724621,5039.742452457438,-2515.839976228719,3.214927288825861,2.415707154894514,0.18324063063314566,0.16051383737273514,0.3729777898239061,645,True,0.8927222015845473,0.25794002556971857,incidence_mean_leptospirose,Leptospirosis,Riesgo Climático
idx_clima,composite,Clima (idx),5039.9406006371755,5057.8176019043585,5040.0031006371755,-2515.9703003185878,0.047243460406953874,0.0384763295924438,0.21950036318408916,0.1603105549747669,0.37465366460571486,645,True,1.15337038132202,0.22642256475266698,incidence_mean_leptospirose,Leptospirosis,Riesgo Climático
hydric_stress_risk,specific,Estrés Hídrico,5041.338144315227,5059.21514558241,5041.400644315227,-2516.6690721576133,1.2228327054225288,3.720920346628564,0.7424299550880372,0.15915588496740868,0.38249269132157526,645,True,2.550914059373099,0.11257629504602494,incidence_mean_leptospirose,Leptospirosis,Riesgo Climático
idx_biodiv,composite,Biodiv (idx),5035.851242374976,5053.728243642159,5035.913742374976,-2513.925621187488,0.10819048718362308,0.04527678141376747,0.016869682609294133,0.16450039421769944,0.37215498167331296,645,True,0.0,0.3976389310988692,incidence_mean_leptospirose,Leptospirosis,Biodiversidad
mean_species_richness,specific,Riqueza Spp,5035.851242374976,5053.728243642159,5035.913742374976,-2513.925621187488,0.02142776056865226,0.008967332126010013,0.01686968260895069,0.16450039421732604,0.37215498167114036,645,True,0.0,0.3976389310988692,incidence_mean_leptospirose,Leptospirosis,Biodiversidad
forest_cover,specific,Cobertura Forestal,5037.449911483982,5055.326912751165,5037.512411483982,-2514.724955741991,0.08361467996305581,0.04089405613595994,0.040887812812479,0.1623308536146449,0.3615148850059242,645,True,1.598669109005641,0.17878962417685834,incidence_mean_leptospirose,Leptospirosis,Biodiversidad
pol_deficit,specific,Déf. Polinización,5041.311336077948,5059.188337345131,5041.373836077948,-2516.655668038974,-1.2755334027439502,3.4668825885300967,0.7129333254097021,0.15904560386328842,0.3788456608081769,645,True,5.46009370297179,0.025932513625403237,incidence_mean_leptospirose,Leptospirosis,Biodiversidad
pct_pobreza,specific,% Pobreza,5040.110204917866,5057.987206185049,5040.172704917866,-2516.055102458933,0.7024902708242643,0.6072509424459646,0.24733902095481053,0.16069872471361474,0.39047271604512135,645,True,0.0,0.2636156463369587,incidence_mean_leptospirose,Leptospirosis,Vulnerabilidad
idx_vulnerabilidad,composite,Vulnerab. (idx),5040.453920120264,5058.330921387447,5040.516420120264,-2516.226960060132,0.06143100978009415,0.0616307056838073,0.3188811160852265,0.16024711250185167,0.38743391109012004,645,True,0.3437152023980161,0.22199049286649775,incidence_mean_leptospirose,Leptospirosis,Vulnerabilidad
pct_rural,specific,% Rural,5040.495016571376,5058.372017838559,5040.557516571376,-2516.247508285688,0.040885367260699905,0.041910946091606095,0.32929764073297263,0.16009319356171398,0.38412683951113874,645,True,0.38481165351004165,0.21747552826480657,incidence_mean_leptospirose,Leptospirosis,Vulnerabilidad
pct_preta,specific,% Pob. Negra,5041.178795641852,5059.055796909035,5041.241295641852,-2516.589397820926,-0.1448380520907454,0.28008191422406126,0.6050671777842077,0.15933883178596722,0.38295442441445815,645,True,1.0685907239858352,0.15450041698028372,incidence_mean_leptospirose,Leptospirosis,Vulnerabilidad
pct_indigena,specific,% Pob. Indígena,5041.341657627281,5059.218658894464,5041.404157627281,-2516.6708288136406,0.21879204890948173,0.6768309886924874,0.7464987209526311,0.15917157013557862,0.3830238980338824,645,True,1.2314527094149526,0.1424179155514532,incidence_mean_leptospirose,Leptospirosis,Vulnerabilidad
UAI_mob,specific,UAI Movilidad,5134.604500778101,5152.481502045284,5134.667000778101,-2563.3022503890506,-2.0631994157991334,2.135287359162976,0.3339242520218145,0.2531452368146105,0.5430401633851438,645,True,0.0,0.21277004953478498,incidence_mean_leishmaniose,Leishmaniasis,Gobernanza
UAI_env,specific,UAI Ambiental,5134.854802576245,5152.731803843428,5134.917302576245,-2563.4274012881224,1.8908400630058968,2.2861164503937976,0.40818208317792637,0.2518950892133822,0.5479325632640729,645,True,0.2503017981434823,0.18774057766073782,incidence_mean_leishmaniose,Leishmaniasis,Gobernanza
UAI_food,specific,UAI Alimentación,5135.06295397453,5152.939955241713,5135.12545397453,-2563.531476987265,1.1720506881424049,1.6998272400887393,0.4905013433306006,0.2520042944470632,0.5464363933070991,645,True,0.45845319642830873,0.16918375039075825,incidence_mean_leishmaniose,Leishmaniasis,Gobernanza
UAI_housing,specific,UAI Vivienda,5135.148188657222,5153.025189924405,5135.210688657222,-2563.574094328611,-0.8137156599359854,1.3028687965261672,0.532261933118364,0.2521088012055608,0.5455283310678974,645,True,0.5436878791206254,0.1621250682056362,incidence_mean_leishmaniose,Leishmaniasis,Gobernanza
